Antartica,-71.5000000,-75.0000000
Rio Verde,-71.4833333,-52.6500000
Laguna Blanca,-71.9166667,-52.2500000
Timaukel,-69.9000000,-53.6666667
Ollague,-68.2666667,-21.2166667
Tortel,-73.5666667,-47.8333333
O'Higgins,-72.5666667,-48.4666667
San Gregorio,-69.6833333,-52.3166667
Primavera,-69.2500000,-52.7166667
General Lagos,-69.5000000,-17.5666667
Torres del Paine,-72.3500000,-51.2666667
Juan Fernandez,-78.8666667,-33.6166667
Camarones,-69.8666667,-19.0166667
Camina,-69.4166667,-19.3000000
Colchane,-68.6166667,-19.2666667
Guaitecas,-73.7333333,-43.8833333
Sierra Gorda,-69.3166667,-22.8833333
Palena,-71.8000000,-43.6166667
Cabo de Hornos,-67.6166667,-54.9333333
Putre,-69.5977778,-18.1916667
Rio Ibanez,-71.9333333,-46.3000000
Futaleufu,-71.8500000,-43.1666667
Huara,-69.7666667,-19.9666667
La Estrella,-71.6666667,-34.2000000
Pumanque,-71.6666667,-34.6000000
San Rosendo,-72.7166667,-37.2666667
Cochrane,-72.5500000,-47.2666667
Cochamo,-72.3166667,-41.5000000
Curaco de Velez,-73.5833333,-42.4333333
Quilaco,-71.9833333,-37.6666667
Puqueldon,-73.6333333,-42.5833333
Empedrado,-72.2833333,-35.6000000
Antuco,-71.6833333,-37.3333333
Rio Hurtado,-70.7000000,-30.2666667
Vichuquen,-72.0000000,-34.8833333
La Higuera,-71.2666667,-29.5000000
San Fabian,-71.5500000,-36.5500000
Paiguano,-70.5166667,-30.0166667
Portezuelo,-72.4333333,-36.5333333
Chaiten,-72.7088889,-42.9194444
Chile Chico,-71.7333333,-46.5500000
Cobquecura,-72.7833333,-36.1333333
Ninhue,-72.4000000,-36.4000000
Corral,-73.4333333,-39.8666667
Queilen,-73.4666667,-42.8666667
Treguaco,-72.6666667,-36.4333333
Alto del Carmen,-70.4622222,-28.9336111
Cisnes,-72.7000000,-44.7500000
Pica,-69.3333333,-20.5000000
Papudo,-71.4500000,-32.5166667
Ranquil,-72.5500000,-36.6500000
Melipeuco,-71.7000000,-38.8500000
Contulmo,-73.2333333,-38.0000000
Paredones,-71.1666667,-34.7833333
Litueche,-71.7333333,-34.1166667
Alto Biobio,-71.3166667,-38.0500000
Maria Elena,-69.6666667,-22.3500000
Navidad,-71.8333333,-33.9333333
Licanten,-72.0000000,-34.9833333
Perquenco,-72.3833333,-38.4166667
Lolol,-71.6447222,-34.7286111
Porvenir,-70.3666667,-53.3000000
Mafil,-72.9500000,-39.6500000
Los Sauces,-72.8333333,-37.9666667
Marchihue,-71.6333333,-34.4000000
Panquehue,-70.8333333,-32.8000000
San Juan de la Costa,-73.4000000,-40.5166667
Freirina,-71.0666667,-28.5000000
Curarrehue,-71.5833333,-39.3500000
Coinco,-70.9666667,-34.2666667
Zapallar,-71.4666667,-32.5333333
Pelluhue,-72.6333333,-35.8333333
Isla de Pascua,-109.3750000,-27.0833333
Quinchao,-73.4166667,-42.5333333
Ercilla,-72.3833333,-38.0500000
Penaflor,-70.9166667,-33.6166667
Pemuco,-72.1000000,-36.9666667
Quemchi,-73.5166667,-42.1333333
Pelarco,-71.4500000,-35.3833333
Placilla,-71.1166667,-34.6333333
Puerto Octay,-72.9000000,-40.9666667
Chanco,-72.5333333,-35.7333333
Curepto,-72.0166667,-35.0833333
Hualaihue,-72.6833333,-42.0166667
Canela,-71.4500000,-31.4000000
San Rafael,-71.5333333,-35.3166667
Quilleco,-71.9666667,-37.4666667
Lumaco,-72.9166667,-38.1500000
Tolten,-73.2333333,-39.2166667
Hualane,-71.8047222,-34.9766667
Lago Ranco,-72.5000000,-40.3166667
Negrete,-72.5166667,-37.5833333
San Pedro de Atacama,-68.2166667,-22.9166667
San Pablo,-73.0166667,-40.4000000
Petorca,-70.9333333,-32.2500000
Renaico,-72.5833333,-37.6666667
Tirua,-73.5000000,-38.3333333
Lonquimay,-71.2333333,-38.4333333
Rauco,-71.3166667,-34.9333333
Rinconada,-70.7000000,-32.8333333
Huasco,-71.2166667,-28.4500000
Nogales,-71.2333333,-32.7166667
Puyehue,-72.6166667,-40.6666667
Andacollo,-71.0833333,-30.2166667
Florida,-72.6666667,-36.8166667
Peralillo,-71.4833333,-34.4833333
Pinto,-71.9000000,-36.7000000
Santo Domingo,-71.6500000,-33.6333333
San Pedro,-71.4666667,-33.9000000
Punitaqui,-71.2666667,-30.9000000
San Nicolas,-72.2166667,-36.5000000
Puren,-73.0833333,-38.0166667
Quirihue,-72.5333333,-36.2833333
Codegua,-70.6666667,-34.0333333
Malloa,-70.9500000,-34.4500000
Rio Negro,-73.2333333,-40.7833333
Tierra Amarilla,-70.2666667,-27.4666667
El Tabo,-71.6666667,-33.4500000
Diego de Almagro,-70.0500000,-26.3666667
Villa Alegre,-71.7500000,-35.6666667
Donihue,-70.9666667,-34.2333333
Mariquina,-72.9666667,-39.5166667
Los Vilos,-71.5166667,-31.9000000
Nueva Imperial,-72.9500000,-38.7333333
Natales,-72.5166667,-51.7333333
Laja,-72.7000000,-37.2666667
Loncoche,-72.6333333,-39.3666667
Aysen,-72.7000000,-45.4000000
La Cruz,-71.2333333,-32.8166667
Cartagena,-71.6000000,-33.5500000
Freire,-72.6333333,-38.9500000
Carahue,-73.1666667,-38.7000000
Pitrufquen,-72.6500000,-38.9833333
Collipulli,-72.4333333,-37.9500000
Hualqui,-72.9333333,-36.9666667
Llaillay,-70.9666667,-32.8500000
Las Cabras,-71.3166667,-34.3000000
Lebu,-73.6500000,-37.6166667
Mostazal,-70.7000000,-33.9833333
Nacimiento,-72.6666667,-37.5000000
Tocopilla,-70.2000000,-22.0666667
Coihueco,-71.8333333,-36.6166667
Calera de Tango,-70.8166667,-33.6500000
Salamanca,-70.9666667,-31.7666667
Casablanca,-71.4166667,-33.3166667
Quellon,-73.6000000,-43.1000000
Vicuna,-70.7000000,-30.0166667
Pucon,-71.9666667,-39.2666667
Requinoa,-70.8333333,-34.2833333
Pirque,-70.5500000,-33.6333333
Cabrero,-72.4000000,-37.0333333
Vilcun,-72.3794444,-39.1183333
Teno,-71.1833333,-34.8666667
Mulchen,-72.2333333,-37.7166667
Monte Patria,-70.9333333,-30.6833333
Illapel,-71.1500000,-31.6166667
Longavi,-71.6833333,-35.9666667
Rio Bueno,-72.9666667,-40.3166667
Niquen,-71.9000000,-36.3000000
Chillan Viejo,-72.1333333,-36.6166667
